dataset_name,fixed,llm__ollama_gemma2_2b,llm__ollama_llama3.1_8b,llm__ollama_llama3.2_3b,llm__ollama_mistral_latest,llm__ollama_phi3_mini,llm__ollama_phi4_latest,llm__ollama_qwen2.5_3b,llm__ollama_qwen2.5_7b,llm__ollama_smollm2_1.7b,llm__ollama_tinyllama_latest,rule
adult_income,9.5,9.4,9.4,9.5,9.333,9.25,9.4,10.0,9.6,9.4,9.4,9.4
diamonds,9.5,9.273,9.273,9.5,9.2,9.2,9.273,9.273,9.2,9.273,9.273,9.273
titanic_style,9.429,9.2,9.2,9.429,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2
