dataset_name,fixed,llm__ollama_gemma2_2b,llm__ollama_llama3.1_8b,llm__ollama_llama3.2_3b,llm__ollama_mistral_latest,llm__ollama_phi3_mini,llm__ollama_phi4_latest,llm__ollama_qwen2.5_3b,llm__ollama_qwen2.5_7b,llm__ollama_smollm2_1.7b,llm__ollama_tinyllama_latest,rule
adult_income,10.0,7.066,6.222,6.477,5.186,6.915,1.929,6.131,4.238,7.722,7.123,10.0
diamonds,8.265,7.483,6.73,6.747,4.613,7.49,1.96,7.523,6.348,7.707,6.487,9.853
titanic_style,10.0,7.313,5.609,6.878,5.443,6.939,1.632,8.354,6.237,8.19,9.395,10.0
