dataset_name,fixed,llm__ollama_gemma2_2b,llm__ollama_llama3.1_8b,llm__ollama_llama3.2_3b,llm__ollama_mistral_latest,llm__ollama_phi3_mini,llm__ollama_phi4_latest,llm__ollama_qwen2.5_3b,llm__ollama_qwen2.5_7b,llm__ollama_smollm2_1.7b,llm__ollama_tinyllama_latest,rule
adult_income,3.461,3.599,3.712,3.577,3.659,3.464,3.559,2.812,2.913,3.479,3.778,3.737
diamonds,3.972,3.969,4.168,3.771,3.868,4.014,3.824,4.206,4.019,3.796,4.134,4.125
titanic_style,4.089,4.161,4.295,4.071,3.867,4.27,3.878,4.328,4.122,4.438,4.3,4.267
