dataset_name,fixed,llm__ollama_gemma2_2b,llm__ollama_llama3.1_8b,llm__ollama_llama3.2_3b,llm__ollama_mistral_latest,llm__ollama_phi3_mini,llm__ollama_phi4_latest,llm__ollama_qwen2.5_3b,llm__ollama_qwen2.5_7b,llm__ollama_smollm2_1.7b,llm__ollama_tinyllama_latest,rule
adult_income,9.307,8.884,8.758,8.752,8.529,8.729,8.059,8.806,8.375,8.98,8.908,9.365
diamonds,9.07,8.963,8.858,8.811,8.436,8.908,8.068,8.988,8.725,8.985,8.817,9.355
titanic_style,8.933,8.571,8.309,8.432,8.568,8.52,7.639,8.751,8.716,8.733,8.915,9.009
